Job Title,Company,Location,Job Type,Experience,Posted Date,Job_Link,ML_Confidence_Avg
Software Engineer,PhonePe,"Bengaluru, Karnataka, India",Not Specified,Not Specified,Not Specified,Not Specified,0.8
Software Engineer,Microsoft,"Karnataka, India",Not Specified,Not Specified,Not Specified,Not Specified,0.8
Software Engineer,DoorDash,"Pune, Maharashtra, India",Not Specified,Not Specified,Not Specified,Not Specified,0.8
Software Developer,Meril,"Vapi, Gujarat, India",Not Specified,Not Specified,Not Specified,Not Specified,0.8
Software Engineer,Meta,"Bengaluru, Karnataka, India",Not Specified,Not Specified,Not Specified,Not Specified,0.8
Software Engineer,Stripe,"Bengaluru, Karnataka, India",Not Specified,Not Specified,Not Specified,Not Specified,0.8
Software Engineering,Stripe,"Bengaluru, Karnataka, India",Not Specified,Not Specified,Not Specified,Not Specified,0.8
Software Engineer,PhonePe,"Bengaluru, Karnataka, India",Not Specified,Not Specified,Not Specified,Not Specified,0.8
Frontend Engineer 2,Flipkart,"Bengaluru, Karnataka, India",Not Specified,Not Specified,Not Specified,Not Specified,0.8
SDE II / III,ZEE - Technology & Innovation,"Bengaluru, Karnataka, India",Not Specified,Not Specified,Not Specified,Not Specified,0.8
Software Engineer 2,Flipkart,"Bengaluru, Karnataka, India",Not Specified,Not Specified,Not Specified,Not Specified,0.8
Software Developer,Halliburton,"Bengaluru, Karnataka, India",Not Specified,Not Specified,Not Specified,Not Specified,0.8
SDE 2,Jar,"Bengaluru, Karnataka, India",Not Specified,Not Specified,Not Specified,Not Specified,0.8
Full Stack Engineer,Deloitte,"Bengaluru South, Karnataka, India",Not Specified,Not Specified,Not Specified,Not Specified,0.8
Software Engineer,PhonePe,"Bengaluru, Karnataka, India",Not Specified,Not Specified,Not Specified,Not Specified,0.8
Backend Developer - SDE 1,Groww,Greater Bengaluru Area,Not Specified,Not Specified,Not Specified,Not Specified,0.8
Associate software Development Engineer,Swiggy,"Bengaluru, Karnataka, India",Not Specified,Not Specified,Not Specified,Not Specified,0.8
SE,PhonePe,"Bengaluru, Karnataka, India",Not Specified,Not Specified,Not Specified,Not Specified,0.8
Python Developer,Infosys,"Bengaluru East, Karnataka, India",Not Specified,Not Specified,Not Specified,Not Specified,0.8
Frontend Developer,Flam,"Bengaluru, Karnataka, India",Not Specified,Not Specified,Not Specified,Not Specified,0.8
Software Engineer III,Google,"Bengaluru, Karnataka, India",Not Specified,Not Specified,Not Specified,Not Specified,0.8
Data Scientist,Deloitte,"Mumbai, Maharashtra, India",Not Specified,Not Specified,Not Specified,Not Specified,0.8
Research Executive,Unilever,"Bengaluru, Karnataka, India",Not Specified,Not Specified,Not Specified,Not Specified,0.8
ML Scientist II,Nykaa,"Bengaluru, Karnataka, India",Not Specified,Not Specified,Not Specified,Not Specified,0.8
Python (AI/ML) Developer,Infosys,"Bengaluru East, Karnataka, India",Not Specified,Not Specified,Not Specified,Not Specified,0.8
Software Engineer,Not Specified,"Bengaluru, Karnataka, India",Not Specified,Not Specified,Not Specified,Not Specified,0.8
Data Scientist,EXL,"Hyderabad, Telangana, India",Not Specified,Not Specified,Not Specified,Not Specified,0.8
AI Scientist - I,Navi,"Bengaluru, Karnataka, India",Not Specified,Not Specified,Not Specified,Not Specified,0.8
Data Scientist,Syngenta,"Pune, Maharashtra, India",Not Specified,Not Specified,Not Specified,Not Specified,0.8
Staff Data Scientist,Not Specified,"Bengaluru, Karnataka, India",Not Specified,Not Specified,Not Specified,Not Specified,0.8
Data Scientist,Forbes Advisor,Mumbai Metropolitan Region,Not Specified,Not Specified,Not Specified,Not Specified,0.8
Data Scientist,Fusemachines,"Pune, Maharashtra, India",Not Specified,Not Specified,Not Specified,Not Specified,0.8
Data Scientist,AB InBev GCC India,"Bengaluru, Karnataka, India",Not Specified,Not Specified,Not Specified,Not Specified,0.8
Data Scientist/Analyst,Adobe,"Bengaluru East, Karnataka, India",Not Specified,Not Specified,Not Specified,Not Specified,0.8
Data Scientist,Epsilon,"Bengaluru, Karnataka, India",Not Specified,Not Specified,Not Specified,Not Specified,0.8
Data Scientist - noon food,noon,"Gurugram, Haryana, India",Not Specified,Not Specified,Not Specified,Not Specified,0.8
Data Scientist,Piramal Finance,"Bangalore Urban, Karnataka, India",Not Specified,Not Specified,Not Specified,Not Specified,0.8
Machine Learning Engineer,Capgemini,"Pune, Maharashtra, India",Not Specified,Not Specified,Not Specified,Not Specified,0.8
Python Developer,Tata Elxsi,"Bengaluru, Karnataka, India",Not Specified,Not Specified,Not Specified,Not Specified,0.8
AI Data Scientist,Persistent Systems,"Pune, Maharashtra, India",Not Specified,Not Specified,Not Specified,Not Specified,0.8
Data Science Specialist,LTIMindtree,"Bengaluru, Karnataka, India",Not Specified,Not Specified,Not Specified,Not Specified,0.8
Data Science Manager,Flipkart,"Bengaluru, Karnataka, India",Not Specified,Not Specified,Not Specified,Not Specified,0.8
AI / ML Engineer,HDFC Bank,"Bengaluru, Karnataka, India",Not Specified,Not Specified,Not Specified,Not Specified,0.8
Staff AI Scientist,Intuit,"Bengaluru, Karnataka, India",Not Specified,Not Specified,Not Specified,Not Specified,0.8
AI/ML,Infosys,"Bengaluru East, Karnataka, India",Not Specified,Not Specified,Not Specified,Not Specified,0.8
Data Scientist,Genpact,"Bengaluru, Karnataka, India",Not Specified,Not Specified,Not Specified,Not Specified,0.8
Data Scientist,Concentrix,"Bengaluru, Karnataka, India",Not Specified,Not Specified,Not Specified,Not Specified,0.8
