Job Title,Company,Location,Posted Date,Experience Level,Salary,Job Link
"Senior Full-Stack/Backend Engineer (Python & JavaScript) – Remote, Contract",INFUSE,Ukraine,2025-09-18,5+,N/A,https://ua.linkedin.com/jobs/view/senior-full-stack-backend-engineer-python-javascript-%E2%80%93-remote-contract-at-infuse-4302267730?position=57&pageNum=0&refId=%2Bl9tHgsD6fHjiqH1Kh48rQ%3D%3D&trackingId=3iJqUInfeyBmZD2AsYJvOg%3D%3D
"Senior Full-Stack/Backend Engineer (Python & JavaScript) – Remote, Contract",INFUSE,,2025-09-19,5+,N/A,https://kz.linkedin.com/jobs/view/senior-full-stack-backend-engineer-python-javascript-%E2%80%93-remote-contract-at-infuse-4302895485?position=1&pageNum=2&refId=G2pYpvJMBjcaV7Xp6qOv7g%3D%3D&trackingId=P7T0BTr8A67oBiZfAkwTFQ%3D%3D
"Senior Project Manager (BA/PdM) (Contract, Remote)",INFUSE,,2025-10-13,5+,N/A,https://ar.linkedin.com/jobs/view/senior-project-manager-ba-pdm-contract-remote-at-infuse-4314169276?position=1&pageNum=2&refId=cZbbioy39zJz14TgMGj2HA%3D%3D&trackingId=lrcnzo9ZthjprWCvxVwwhw%3D%3D
"Senior Full-Stack/Backend Engineer (Python & JavaScript) – Remote, Contract",INFUSE,Hungary,2025-09-19,5+,N/A,https://hu.linkedin.com/jobs/view/senior-full-stack-backend-engineer-python-javascript-%E2%80%93-remote-contract-at-infuse-4303001428?position=59&pageNum=0&refId=nqHT6MxZ1b7Grn1YLP82fQ%3D%3D&trackingId=ofXsLrpijGmCJhqBp5Bz1w%3D%3D
"Senior Full-Stack/Backend Engineer (Python & JavaScript) – Remote, Contract",INFUSE,Ukraine,2025-09-18,5+,N/A,https://ua.linkedin.com/jobs/view/senior-full-stack-backend-engineer-python-javascript-%E2%80%93-remote-contract-at-infuse-4302268581?position=56&pageNum=0&refId=Na5cJp0stKmE1jCJeZEnzQ%3D%3D&trackingId=k1UeQifZnGpnof%2B%2BVgyX9g%3D%3D
"Senior Full-Stack/Backend Engineer (Python & JavaScript) – Remote, Contract",INFUSE,Ukraine,2025-09-18,5+,N/A,https://ua.linkedin.com/jobs/view/senior-full-stack-backend-engineer-python-javascript-%E2%80%93-remote-contract-at-infuse-4302259961?position=57&pageNum=0&refId=Na5cJp0stKmE1jCJeZEnzQ%3D%3D&trackingId=%2BWJKGRhnCWVwigYTzACsHw%3D%3D
"Senior Full-Stack/Backend Engineer (Python & JavaScript) – Remote, Contract",INFUSE,Ukraine,2025-08-24,5+,N/A,https://ua.linkedin.com/jobs/view/senior-full-stack-backend-engineer-python-javascript-%E2%80%93-remote-contract-at-infuse-4302264760?position=58&pageNum=0&refId=Na5cJp0stKmE1jCJeZEnzQ%3D%3D&trackingId=lN3pHvaefaAnkdPSMnOARA%3D%3D
"Senior Full-Stack/Backend Engineer (Python & JavaScript) – Remote, Contract",INFUSE,Czechia,2025-09-19,5+,N/A,https://cz.linkedin.com/jobs/view/senior-full-stack-backend-engineer-python-javascript-%E2%80%93-remote-contract-at-infuse-4302891539?position=58&pageNum=0&refId=QuHXrqEp1GCCjpFt6x5QyA%3D%3D&trackingId=P8qIYGABuntNQgZIE0JIXg%3D%3D
"Senior Full-Stack/Backend Engineer (Python & JavaScript) – Remote, Contract",INFUSE,Slovakia,2025-09-19,5+,N/A,https://sk.linkedin.com/jobs/view/senior-full-stack-backend-engineer-python-javascript-%E2%80%93-remote-contract-at-infuse-4302884604?position=60&pageNum=0&refId=QuHXrqEp1GCCjpFt6x5QyA%3D%3D&trackingId=drCy5P%2Fr4kBJ7C5%2BIa3GLg%3D%3D
Senior Full-Stack Developer (Vue.js / .NET 8) -8months contract - Fully Remote,ERP Supply - 🔵SAP Staffing Agency🔵,European Union,2025-10-22,5+,N/A,https://www.linkedin.com/jobs/view/senior-full-stack-developer-vue-js-net-8-8months-contract-fully-remote-at-erp-supply-%F0%9F%94%B5sap-staffing-agency%F0%9F%94%B5-4318522349?position=8&pageNum=0&refId=2N87oE%2FVuAZBFlI2ci1m8Q%3D%3D&trackingId=Dhum8DbaE9N2UcsYM2xDpg%3D%3D
