job_title,company_name,companyUrl,jobUrl,workType,contractType,salary,location,postedTime,experienceLevel
Back End Developer,Andela,https://www.linkedin.com/company/andela?trk=public_jobs_topcard-org-name,https://in.linkedin.com/jobs/view/back-end-developer-at-andela-4315932579?trk=public_jobs_topcard-title,Engineering and Information Technology,Contract,,India,4 days ago,Mid-Senior level
Frontend Developer,Insight Global,https://www.linkedin.com/company/insight-global?trk=public_jobs_topcard-org-name,https://in.linkedin.com/jobs/view/frontend-developer-at-insight-global-4314057348?trk=public_jobs_topcard-title,Information Technology,Contract,,India,1 week ago,Mid-Senior level
Tester,Unison Group,https://www.linkedin.com/company/unison-group-sg?trk=public_jobs_topcard-org-name,https://in.linkedin.com/jobs/view/tester-at-unison-group-4281939023?trk=public_jobs_topcard-title,Information Technology,Contract,,"Hyderabad, Telangana, India",3 months ago,Mid-Senior level
Full Stack Engineer,Smart Working,https://uk.linkedin.com/company/smartworkingsolutions?trk=public_jobs_topcard-org-name,https://in.linkedin.com/jobs/view/full-stack-engineer-at-smart-working-4306384944?trk=public_jobs_topcard-title,Information Technology and Engineering,Contract,,India,3 weeks ago,Mid-Senior level
Software Engineer | $90/hr Remote,Crossing Hurdles,https://www.linkedin.com/company/crossinghurdles?trk=public_jobs_topcard-org-name,https://in.linkedin.com/jobs/view/software-engineer-%2490-hr-remote-at-crossing-hurdles-4318157400?trk=public_jobs_topcard-title,Engineering and Information Technology,Contract,,India,5 days ago,Mid-Senior level
AI Engineer,Fusemachines,https://www.linkedin.com/company/fusemachines?trk=public_jobs_topcard-org-name,https://in.linkedin.com/jobs/view/ai-engineer-at-fusemachines-4282134885?trk=public_jobs_topcard-title,Engineering and Information Technology,Contract,,"Pune, Maharashtra, India",2 months ago,Mid-Senior level
Python Developer | APIs & Temporal Workers,"Venue Advantage, Inc.",https://www.linkedin.com/company/venue-advantage-inc?trk=public_jobs_topcard-org-name,https://in.linkedin.com/jobs/view/python-developer-apis-temporal-workers-at-venue-advantage-inc-4307611053?trk=public_jobs_topcard-title,Engineering and Information Technology,Contract,,India,3 weeks ago,Entry level
Python Developer,Tech USA,https://www.linkedin.com/company/tech-usa?trk=public_jobs_topcard-org-name,https://in.linkedin.com/jobs/view/python-developer-at-tech-usa-4312426836?trk=public_jobs_topcard-title,Information Technology,Contract,,India,1 week ago,Mid-Senior level
Spring Boot Java/Kotlin Developer (On Contract),Particle41,https://www.linkedin.com/company/particle41?trk=public_jobs_topcard-org-name,https://in.linkedin.com/jobs/view/spring-boot-java-kotlin-developer-on-contract-at-particle41-4071185656?trk=public_jobs_topcard-title,Other,Contract,,"Pune, Maharashtra, India",11 months ago,Not Applicable
Linux Application Developer,Delaplex,https://www.linkedin.com/company/delaplex?trk=public_jobs_topcard-org-name,https://in.linkedin.com/jobs/view/linux-application-developer-at-delaplex-4292607159?trk=public_jobs_topcard-title,Engineering and Information Technology,Contract,,India,1 month ago,Mid-Senior level
Java Software Engineer,KPG99 INC,https://www.linkedin.com/company/kpg-99-inc-?trk=public_jobs_topcard-org-name,https://in.linkedin.com/jobs/view/java-software-engineer-at-kpg99-inc-4315321127?trk=public_jobs_topcard-title,Information Technology,Contract,,India,1 week ago,Mid-Senior level
Data Scientist,Fusemachines,https://www.linkedin.com/company/fusemachines?trk=public_jobs_topcard-org-name,https://in.linkedin.com/jobs/view/data-scientist-at-fusemachines-4286659669?trk=public_jobs_topcard-title,Engineering and Information Technology,Contract,,"Pune, Maharashtra, India",2 months ago,Mid-Senior level
Java Software Engineer,ACL Digital,https://www.linkedin.com/company/acl-digital?trk=public_jobs_topcard-org-name,https://in.linkedin.com/jobs/view/java-software-engineer-at-acl-digital-4311810149?trk=public_jobs_topcard-title,Design,Contract,,India,2 weeks ago,Mid-Senior level
Java Backend Developer,Avensys Consulting,https://sg.linkedin.com/company/avensys-consulting-global?trk=public_jobs_topcard-org-name,https://in.linkedin.com/jobs/view/java-backend-developer-at-avensys-consulting-4309951736?trk=public_jobs_topcard-title,Information Technology,Contract,,Greater Bengaluru Area,2 weeks ago,Mid-Senior level
